Source,Teff[K],Luminosity[Lsun],Ref,e_Teff[K],e_Luminosity[Lsun],logmass[Msun],lw_logmass[Msun],up_logmass[Msun],logage[yrs],lw_logage[yrs],up_logage[yrs],mass[Msun],lw_mass[Msun],up_mass[Msun],age[Myrs],lw_age[Myrs],up_age[Myrs],flag
J11091812-7630292,3850.0,0.25,M16b,177.29905216054152,0.05756462732485115,-0.1999999999999984,-0.2999999999999985,-0.09999999999999831,6.748970004335996,6.468970004336002,7.04897000433599,0.6309573444801956,0.501187233627274,0.7943282347242846,5.610092271509528,2.9442182767778333,11.193605692840954,good
J11092266-7634320,3705.0,0.075,M16b,170.62155539085884,0.017269388197455347,-0.24999999999999847,-0.3199999999999985,-0.15999999999999837,7.368970004335983,7.128970004335988,7.638970004335977,0.5623413251903511,0.47863009232264,0.6918309709189391,23.38675706435799,13.457674019633632,43.54817949779988,good
J11092379-7623207,3780.0,0.55,M16a,174.07543303034996,0.12664218011467254,-0.2999999999999985,-0.4099999999999986,-0.18999999999999842,6.078970004336011,5.828970004336016,6.3189700043360055,0.501187233627274,0.3890451449942819,0.6456542290346579,1.1994164595097228,0.6744814412958224,2.0843469173516134,good
J11094260-7725578,3125.0,0.23,L07,71.95578415606396,0.05295945713886307,-0.7799999999999989,-0.849999999999999,-0.7199999999999989,5.698970004336019,,,0.16595869074375647,0.14125375446227575,0.1905460717963252,0.49999999999999994,,,toobright
J11094621-7634463,3415.0,0.06,M16b,78.63328092574669,0.013815510557964275,-0.47999999999999865,-0.5599999999999987,-0.3999999999999986,7.088970004335989,6.878970004335994,7.318970004335984,0.3311311214825921,0.27542287033381746,0.39810717055349853,12.273544578424312,7.567806242180602,20.84346917351511,good
J11094742-7726290,3705.0,0.1,M16b,170.62155539085884,0.023025850929940462,-0.21999999999999845,-0.2999999999999985,-0.1299999999999983,7.188970004335987,6.918970004335993,7.478970004335981,0.6025595860743599,0.501187233627274,0.7413102413009204,15.451477162566821,8.297934537187306,30.12797930371525,good
J11095215-7639128,2962.0,0.023,L07,68.20257045448366,0.005295945713886306,-1.1999999999999993,-1.3999999999999995,-1.0799999999999992,6.638970004335999,6.418970004336003,6.828970004335995,0.06309573444801943,0.039810717055349776,0.08317637711026726,4.354817949780202,2.62403730124877,6.744814412957893,good
J11095336-7728365,3060.0,0.014,M16b,70.45910384561783,0.0032236191301916644,-0.9799999999999991,-1.0799999999999992,-0.889999999999999,6.998970004335991,6.818970004335995,7.178970004335987,0.10471285480509017,0.08317637711026726,0.1288249551693137,9.976311574843761,6.591283692781672,15.099758602008981,good
J11095340-7634255,4060.0,0.48,M16b,186.9699095511166,0.11052408446371423,-0.11575749056067441,-0.20575749056067447,-0.025757490560674327,6.538970004336001,6.288970004336006,6.808970004335995,0.7660242343821401,0.6226478738270438,0.9424156932458113,3.4591548545945394,1.9452257249713463,6.441247758465318,good
J11095407-7629253,3705.0,0.11,M16b,170.62155539085884,0.025328436022934504,-0.2099999999999984,-0.28999999999999854,-0.11999999999999834,7.128970004335988,6.848970004335994,7.428970004335982,0.6165950018614844,0.5128613839913666,0.7585775750291867,13.457674019633632,7.062687723113372,26.851589818510355,good
J11095873-7737088,3780.0,0.61,M16b,174.07543303034996,0.1404576906726368,-0.2999999999999985,-0.3999999999999986,-0.18999999999999842,6.008970004336012,5.778970004336017,6.238970004336007,0.501187233627274,0.39810717055349853,0.6456542290346579,1.020868972334749,0.601132217308704,1.7336842522626121,good
J11100010-7634578,5110.0,2.68,M16a,235.32419650399152,0.6170928049224044,0.21424250943932588,0.17424250943932587,0.31424250943932597,6.398970004336004,6.168970004336009,6.6489700043359985,1.637730772748989,1.493628216693808,2.061780887491001,2.505936168136275,1.4756046133331586,4.456254690668519,good
J11100369-7633291,3850.0,0.23,M16b,177.29905216054152,0.05295945713886307,-0.14999999999999836,-0.2399999999999984,-0.039999999999998245,6.808970004335995,6.528970004336001,7.108970004335989,0.7079457843841406,0.575439937337159,0.9120108393559134,6.441247758465318,3.380414876959771,12.851978913843428,good
J11100469-7635452,4060.0,0.34,M16a,186.9699095511166,0.07828789316179757,-0.07575749056067438,-0.1457574905606744,0.014242509439325715,6.758970004335996,6.498970004336002,7.02897000433599,0.8399288707172934,0.7148954112518545,1.0333382593471965,5.740768107484114,3.154786722400842,10.68981044751046,good
J11100704-7629376,4060.0,0.53,M16b,186.9699095511166,0.12203700992868445,-0.13575749056067443,-0.23575749056067455,-0.035757490560674364,6.448970004336003,6.188970004336008,6.708970004335997,0.7315474645476905,0.5810888061311907,0.9209636930526803,2.8117066259516417,1.545147716256758,5.1164649614035165,good
J11100785-7727480,3060.0,0.036,M16b,70.45910384561783,0.008289306334778566,-0.899999999999999,-0.9899999999999991,-0.7899999999999989,6.578970004336,6.418970004336003,6.738970004335997,0.125892541179417,0.10232929922807563,0.1621810097358934,3.7928878751457544,2.62403730124877,5.482390980715644,good
J11101141-7635292,4350.0,0.61,M16a,200.32490309048205,0.1404576906726368,0.004242509439325717,-0.05575749056067439,0.09424250943932577,6.638970004335999,6.388970004336004,6.898970004335993,1.009816608871769,0.8795134988602311,1.242345838142599,4.354817949780202,2.4488940968421478,7.9244659623051,good
